"Name","Runtime","n_hidden_layers","n_hidden_state_variables","n_hidden_time_steps","n_input_time_steps","model","activation","n_output_time_steps","epochs","training_time","n_trainable_parameters","RMSE","NRMSE","R2"
"jumping-sweep-6","584","5","4","16","512","FMLP","gelu","1","311","561.9253280432895","69719","0.0023160232231020927","0.04305766150355339","0.9981460378493086"
"earthy-sweep-5","14418","5","4","4","512","FMLP","gelu","1","8132","14403.00729894638","13487","0.00298940553329885","0.05557665228843689","0.9969112359548816"
"rural-sweep-7","333","5","4","32","256","FMLP","gelu","1","174","311.6675523929298","148023","0.0034328624606132507","0.06402479112148285","0.99590082572391"
"hardy-sweep-6","1007","5","4","16","256","FMLP","gelu","1","554","991.6720164874567","48727","0.0035924820695072412","0.06700178980827332","0.9955107602809148"
"divine-sweep-7","463","5","4","32","128","FMLP","gelu","1","249","445.6289113536477","127287","0.0036940884310752153","0.0690062865614891","0.995238132668096"
"sweepy-sweep-10","232","5","8","16","512","FMLP","gelu","1","119","216.03109465539455","193355","0.003874554531648755","0.0720326378941536","0.9948112995273533"
"earnest-sweep-1","14422","5","1","64","256","FMLP","gelu","1","9548","14402.797153096646","47281","0.003865481354296207","0.07209337502717972","0.9948025449751784"
"splendid-sweep-7","203","5","4","32","512","FMLP","gelu","1","101","185.0795746287331","189495","0.003892997745424509","0.07237552106380463","0.9947617837995776"
"snowy-sweep-3","14419","5","1","64","256","MLP","gelu","1","16737","14401.61800532136","37313","0.003922222647815943","0.07315163314342499","0.9946488380147988"
"lilac-sweep-2","14418","5","1","64","512","FP","gelu","1","12267","14401.256879900582","14192","0.004135910887271166","0.07689157128334045","0.9940876873514528"
"stilted-sweep-10","277","5","8","16","128","FMLP","gelu","1","145","260.88280664756894","130379","0.004277529660612345","0.07990507781505585","0.993615179060392"
"celestial-sweep-1","14425","5","1","64","512","FMLP","gelu","1","9357","14401.8738966221","67889","0.004424378741532564","0.08225453644990921","0.9932341928450152"
"jolly-sweep-2","14420","5","1","64","256","FP","gelu","1","12540","14401.327418471688","9968","0.0044202194549143314","0.08243954926729202","0.9932037205393556"
"jolly-sweep-10","312","5","8","16","256","FMLP","gelu","1","163","293.4718117201701","151371","0.004472298547625542","0.0834108516573906","0.9930426289977116"
"denim-sweep-3","14423","5","4","16","512","MLP","gelu","1","15785","14401.294703346995","53697","0.004550463054329157","0.0845985934138298","0.9928430780192938"
"stellar-sweep-2","14419","5","4","16","512","FP","gelu","1","11596","14401.408676141","16022","0.004636180587112904","0.08619218319654465","0.992570907191048"
"glad-sweep-6","3244","5","4","16","128","FMLP","gelu","1","1819","3227.1974157011136","38231","0.004635713994503021","0.0865960344672203","0.9925011284696692"
"peach-sweep-10","215","5","8","16","1024","FMLP","gelu","1","108","197.94029118027535","277323","0.0047249626368284225","0.08728007227182388","0.9923821872094843"
"desert-sweep-2","14425","5","1","64","1024","FP","gelu","1","12058","14401.437510264106","22640","0.0047346181236207485","0.08745843172073364","0.9923510223154236"
"lemon-sweep-7","248","5","4","32","1024","FMLP","gelu","1","126","232.28551562316716","272439","0.004737451206892729","0.08751076459884644","0.9923418656339796"
"clean-sweep-3","14422","5","1","64","512","MLP","gelu","1","16422","14401.550106261857","53697","0.004710522945970297","0.0875742956995964","0.9923307428764154"
